"","name","ACIf","ESM","MD","NDSI","MID","FM","WE","CF","SC","SB","Tonnets","ADIm1","ADIm2","ADIm3","ADIm4","ADIm5","ADIm6","ADIm7","ADIm8","ADIm9","label","hour","zone","site","ID_SUMMARY.Q.05","ID_SUMMARY.Q.25","ID_SUMMARY.MEAN","ID_SUMMARY.MEDIAN","ID_SUMMARY.Q.75","ID_SUMMARY.Q.95","ID_SUMMARY.OBS","Hidalgo_cluster"
"26295","/media/microp/DavidDD/bioacustica/2017/302298/20170123/13654-302298__0__20170123_103000.wav",0.8876648,0.8887860,0.2410668,0.8162100,1.000000000,0.6813472,0.211086132,0.001658174,0.3316686,0.5890805,0.5388178,0.9181151,0.94551357,0.95111027,0.91273706,0.93108436,0.966340236,0.854609361,0.785424922,0.94187658,0,10,"b","654-302298__0_",   5.772633,   6.165209,   6.563817,   6.469815,   6.804042,   7.883704,   1.000000,"1"
"26296","/media/microp/DavidDD/bioacustica/2017/302298/20170123/13654-302298__0__20170123_105000.wav",0.8880838,0.8886002,0.2417280,0.8059828,1.000000000,0.6869975,0.075077198,0.004406275,0.3227835,0.5947909,0.5126584,0.8334812,0.96148862,0.92771192,0.94063596,0.95982524,0.948030660,0.958227374,0.940740546,0.93594686,0,10,"b","654-302298__0_",   5.773435,   6.195579,   6.687491,   6.522885,   6.978281,   8.260920,   2.000000,"1"
"26297","/media/microp/DavidDD/bioacustica/2017/302298/20170123/13654-302298__0__20170123_111000.wav",0.8873721,0.9016569,0.2473919,0.8125026,1.000000000,0.6787930,0.224524782,0.001059948,0.3340558,0.6002930,0.5221302,0.9257220,0.94270046,0.95308550,0.92303031,0.93795960,0.921303547,0.902001716,0.917147659,0.94499309,0,11,"b","654-302298__0_",   5.735433,   6.122924,   6.409235,   6.397602,   6.684373,   7.113700,   3.000000,"1"
"26298","/media/microp/DavidDD/bioacustica/2017/302298/20170123/13654-302298__0__20170123_112000.wav",0.8881991,0.9106537,0.2468052,0.8063043,1.000000000,0.6843470,0.225715067,0.001435054,0.3329597,0.6030248,0.5326624,0.9017930,0.92092542,0.95008010,0.93174950,0.94052638,0.916949813,0.923872989,0.937898758,0.94476410,0,11,"b","654-302298__0_",   5.735433,   6.122924,   6.409235,   6.397602,   6.684373,   7.113700,   4.000000,"1"
"26299","/media/microp/DavidDD/bioacustica/2017/302298/20170123/13654-302298__0__20170123_114000.wav",0.8879901,0.8957608,0.2463089,0.8105377,1.000000000,0.6850574,0.227873508,0.001769870,0.3333978,0.6050614,0.5603831,0.9171117,0.94480021,0.92455913,0.94527676,0.94628966,0.930226469,0.864723758,0.906100961,0.94403644,0,11,"b","654-302298__0_",   5.737724,   6.126229,   6.429661,   6.407560,   6.695435,   7.150714,   5.000000,"1"
"26300","/media/microp/DavidDD/bioacustica/2017/302298/20170123/13654-302298__0__20170123_115000.wav",0.8874698,0.9185784,0.2517983,0.7898901,1.000000000,0.6825085,0.223771064,0.003229837,0.3275629,0.6095859,0.5483159,0.9131569,0.95264716,0.95872146,0.95487585,0.94091937,0.908264638,0.936133728,0.918446704,0.92446254,0,11,"b","654-302298__0_",   5.735433,   6.122924,   6.412885,   6.399655,   6.688338,   7.122316,   6.000000,"1"
"26301","/media/microp/DavidDD/bioacustica/2017/302298/20170123/13654-302298__0__20170123_120000.wav",0.8871857,0.9009608,0.2506257,0.8066074,1.000000000,0.6808638,0.228611703,0.003931130,0.3310163,0.6103547,0.5585736,0.9271791,0.94413167,0.92958632,0.94435511,0.90687714,0.939862566,0.930889452,0.948049068,0.91518796,0,12,"b","654-302298__0_",   5.773435,   6.155488,   6.517756,   6.441141,   6.758931,   7.543004,   7.000000,"1"
"26302","/media/microp/DavidDD/bioacustica/2017/302298/20170123/13654-302298__0__20170123_121000.wav",0.8871243,0.9161831,0.2501586,0.7882603,1.000000000,0.6830767,0.224132678,0.001310842,0.3290193,0.6095368,0.5283742,0.8807777,0.95889194,0.92770008,0.93471126,0.97228440,0.950313289,0.953349154,0.959885150,0.95262139,0,12,"b","654-302298__0_",   5.792187,   6.209186,   6.720664,   6.549595,   7.039969,   8.347324,   8.000000,"1"
"26303","/media/microp/DavidDD/bioacustica/2017/302298/20170123/13654-302298__0__20170123_122000.wav",0.8882452,0.8017042,0.2489754,0.7937938,1.000000000,0.6840805,0.253840967,0.000998897,0.3405660,0.6168461,0.5296814,0.9184411,0.96268268,0.91594550,0.93661938,0.94297233,0.924018496,0.938649334,0.894141800,0.88992124,0,12,"b","654-302298__0_",   5.797122,   6.220714,   6.730994,   6.554293,   7.019687,   8.418010,   9.000000,"1"
"26304","/media/microp/DavidDD/bioacustica/2017/302298/20170123/13654-302298__0__20170123_124000.wav",0.8882709,0.5490549,0.2414074,0.8190891,1.000000000,0.6876519,0.214431222,0.004215198,0.3534246,0.6090763,0.5146739,0.8961349,0.93377433,0.92885972,0.89450220,0.93300256,0.938866719,0.934297109,0.888704807,0.82260660,0,12,"b","654-302298__0_",   6.618100,   7.163446,   7.799590,   7.719051,   8.408314,   9.211297,  10.000000,"2"
