"","name","ACIf","ESM","MD","NDSI","MID","FM","WE","CF","SC","SB","Tonnets","ADIm1","ADIm2","ADIm3","ADIm4","ADIm5","ADIm6","ADIm7","ADIm8","ADIm9","label","hour","zone","site","ID_SUMMARY.Q.05","ID_SUMMARY.Q.25","ID_SUMMARY.MEAN","ID_SUMMARY.MEDIAN","ID_SUMMARY.Q.75","ID_SUMMARY.Q.95","ID_SUMMARY.OBS"
"10964","/home/david/Música/Bioacustica/2016/5070/20160214/GUAM5070__0__20160214_000000.wav",0.8907343,0.73710830,0.2861974,0.99096950,0.150306748,0.6657956,0.057813886,0.000922181,0.3567995,0.6057542,0.5813038,0.92553965,0.92254735,0.885481554,0.64718341,0.76238281,0.85641303,0.707380705,0.82848310,0.86972683,1, 0,"b","4/GUAM5070__0_",   5.777114,   6.204149,   7.272864,   6.614318,   7.815061,  10.998523,   1.000000
"10965","/home/david/Música/Bioacustica/2016/5070/20160214/GUAM5070__0__20160214_001000.wav",0.8931261,0.88629980,0.2853296,0.98664882,0.144171779,0.6629613,0.073499863,0.005726979,0.3588648,0.6188151,0.5733333,0.82193616,0.57209023,0.660773888,0.64191432,0.75004848,0.80448852,0.622207133,0.75116873,0.84592204,1, 0,"b","4/GUAM5070__0_",   7.354849,   9.050643,   9.871500,  10.163603,  10.771037,  11.583043,   2.000000
"10966","/home/david/Música/Bioacustica/2016/5070/20160214/GUAM5070__0__20160214_002000.wav",0.8864672,0.75820033,0.2824226,0.99639940,0.171779141,0.6683818,0.030839062,0.001541785,0.3481188,0.5574878,0.5031774,0.91775827,0.94723895,0.885664650,0.54397467,0.78532941,0.87055576,0.723356814,0.74460605,0.85046551,1, 0,"b","4/GUAM5070__0_",   5.707999,   6.092043,   6.657365,   6.441567,   6.891862,   8.586012,   3.000000
"10967","/home/david/Música/Bioacustica/2016/5070/20160214/GUAM5070__0__20160214_003000.wav",0.8901665,0.90736778,0.2894893,0.98975729,0.150306748,0.6619196,0.071398962,0.001607460,0.3601788,0.6107154,0.5582432,0.95343860,0.91213041,0.840089027,0.67189983,0.76853530,0.83207484,0.734798508,0.77106871,0.87408904,1, 0,"b","4/GUAM5070__0_",   5.661871,   6.067120,   6.486222,   6.374825,   6.719876,   7.542850,   4.000000
"10968","/home/david/Música/Bioacustica/2016/5070/20160214/GUAM5070__0__20160214_004000.wav",0.8920425,0.78162600,0.2894328,0.99146071,0.147239264,0.6748945,0.063660509,0.001420059,0.3694702,0.5864850,0.6338833,0.94692171,0.93939476,0.907201330,0.89368207,0.82279345,0.84394043,0.722125496,0.85426453,0.91027184,1, 0,"b","4/GUAM5070__0_",   5.977664,   7.206243,   8.183689,   8.503406,   9.097056,   9.859549,   5.000000
"10969","/home/david/Música/Bioacustica/2016/5070/20160214/GUAM5070__0__20160214_005000.wav",0.8924702,0.80613499,0.2903860,0.98646807,0.150306748,0.6724764,0.094537244,0.001478240,0.3670452,0.6442883,0.5022385,0.92420060,0.94145519,0.891980792,0.76227311,0.79292938,0.85520580,0.726923698,0.81326039,0.89198013,1, 0,"b","4/GUAM5070__0_",   7.379949,   8.238717,   8.672865,   8.699320,   9.168221,   9.844026,   6.000000
"10970","/home/david/Música/Bioacustica/2016/5070/20160214/GUAM5070__0__20160214_010000.wav",0.8924580,0.79961561,0.2693895,0.99199592,0.147239264,0.6720656,0.076699733,0.002273492,0.3737101,0.5783229,0.6027774,0.93023409,0.90073647,0.834532009,0.74890150,0.80817066,0.86980424,0.757808145,0.81568213,0.71129907,1, 1,"b","4/GUAM5070__0_",   5.796488,   6.308679,   7.640418,   6.936950,   8.887277,  10.949660,   7.000000
"10971","/home/david/Música/Bioacustica/2016/5070/20160214/GUAM5070__0__20160214_012000.wav",0.8919958,0.80463380,0.2793675,0.98960732,0.150306748,0.6634101,0.086124161,0.001575801,0.3691454,0.6025565,0.6533686,0.91138185,0.91316728,0.846912026,0.70965715,0.81445210,0.84257549,0.763404854,0.84414787,0.80076204,1, 1,"b","4/GUAM5070__0_",   5.799078,   6.258767,   7.438608,   6.699276,   8.425160,  11.083648,   8.000000
"10972","/home/david/Música/Bioacustica/2016/5070/20160214/GUAM5070__0__20160214_015000.wav",0.8917824,0.61986647,0.2734833,0.99081680,0.156441718,0.6661810,0.079748823,0.006051274,0.3649078,0.5994562,0.6404416,0.97003960,0.94441747,0.893049842,0.71225125,0.80715770,0.87335761,0.738527160,0.77177582,0.49231711,1, 1,"b","4/GUAM5070__0_",   5.439503,   6.005234,   6.311045,   6.357043,   6.730604,   7.994706,   9.000000
"10973","/home/david/Música/Bioacustica/2016/5070/20160214/GUAM5070__0__20160214_020000.wav",0.8919012,0.76540328,0.2910309,0.98557370,0.156441718,0.6706782,0.104659270,0.010237215,0.3710595,0.6391943,0.6617038,0.90636025,0.84544331,0.752215955,0.88627572,0.85041149,0.79722389,0.734451520,0.83696418,0.79446436,1, 2,"b","4/GUAM5070__0_",   6.363973,   8.029013,   8.581515,   8.680420,   9.210600,  10.278075,  10.000000
