"","name","ACIf","ESM","MD","NDSI","MID","FM","WE","CF","SC","SB","Tonnets","ADIm1","ADIm2","ADIm3","ADIm4","ADIm5","ADIm6","ADIm7","ADIm8","ADIm9","label","hour","zone","site","ID_SUMMARY.Q.05","ID_SUMMARY.Q.25","ID_SUMMARY.MEAN","ID_SUMMARY.MEDIAN","ID_SUMMARY.Q.75","ID_SUMMARY.Q.95","ID_SUMMARY.OBS"
"31913","/media/microp/DavidDD/bioacustica/2017/5071/20170123/13654-SM5071__0__20170123_000306.wav",0.1377884,0.8613972,0.4297374,0.9380199,0.35221062,0.7239023,0.12995314,0.000323004,0.10166769,0.4225048,0.5492937,0.8522814,0.9506985,0.9215723,0.9347876,0.9168934,0.8821620,0.9272552,0.9373696,0.94072140,2, 0,"b","654-SM5071__0_",   6.476928,   6.966240,   7.337833,   7.308468,   7.689801,   8.333717,   1.000000
"31914","/media/microp/DavidDD/bioacustica/2017/5071/20170123/13654-SM5071__0__20170123_001000.wav",0.8920378,0.8928776,0.4330656,0.9108794,0.47239264,0.6609521,0.15127347,0.000150150,0.09200797,0.4163190,0.5342523,0.9738610,0.9442346,0.9514400,0.8856157,0.8648464,0.7912815,0.8598411,0.8778020,0.93094815,2, 0,"b","654-SM5071__0_",   6.509166,   6.926926,   7.301052,   7.275633,   7.653176,   8.171536,   2.000000
"31915","/media/microp/DavidDD/bioacustica/2017/5071/20170123/13654-SM5071__0__20170123_002000.wav",0.8925336,0.8927434,0.4302756,0.9405085,0.31901841,0.6636946,0.11127669,0.000288871,0.09968273,0.4083269,0.5516329,0.9615804,0.9593756,0.9286528,0.8750671,0.8426583,0.8175614,0.8972804,0.8914843,0.91568111,2, 0,"b","654-SM5071__0_",   6.509031,   7.008882,   7.378430,   7.369993,   7.741483,   8.277623,   3.000000
"31916","/media/microp/DavidDD/bioacustica/2017/5071/20170123/13654-SM5071__0__20170123_003017.wav",0.8236889,0.8945683,0.4251440,0.9396056,0.32588843,0.6669109,0.11102455,0.000253242,0.09968856,0.4097598,0.5533195,0.9653856,0.9746635,0.9376560,0.8856140,0.8699577,0.7949002,0.8972335,0.8857052,0.93853569,2, 0,"b","654-SM5071__0_",   6.499631,   6.981438,   7.366865,   7.352458,   7.735229,   8.281436,   4.000000
"31917","/media/microp/DavidDD/bioacustica/2017/5071/20170123/13654-SM5071__0__20170123_005000.wav",0.8920465,0.9117401,0.4074117,0.9388310,0.32822086,0.6595977,0.09984759,0.000150164,0.09667057,0.3991399,0.5370017,0.9619003,0.9457759,0.9209591,0.8605295,0.8396809,0.8106755,0.8749363,0.8585051,0.92147369,2, 0,"b","654-SM5071__0_",   6.520227,   7.008882,   7.375158,   7.367774,   7.735229,   8.277667,   5.000000
"31918","/media/microp/DavidDD/bioacustica/2017/5071/20170123/13654-SM5071__0__20170123_010000.wav",0.8930174,0.9036079,0.4118615,0.9142840,0.45398773,0.6700919,0.13003148,0.000132018,0.09065677,0.4027841,0.5182903,0.9629959,0.9469319,0.9274454,0.8785940,0.8272978,0.8148926,0.8770837,0.8806691,0.93325422,2, 1,"b","654-SM5071__0_",   6.512274,   6.947714,   7.309825,   7.287313,   7.656316,   8.172947,   6.000000
"31919","/media/microp/DavidDD/bioacustica/2017/5071/20170123/13654-SM5071__0__20170123_011000.wav",0.8907341,0.8966949,0.4085353,0.9351389,0.33435583,0.6575332,0.09927425,0.000163453,0.09551392,0.3980983,0.5368608,0.9568678,0.9649635,0.9117492,0.8213783,0.8182795,0.8214615,0.8979334,0.8918796,0.94139869,2, 1,"b","654-SM5071__0_",   6.512214,   6.999398,   7.355754,   7.341270,   7.697988,   8.218833,   7.000000
"31920","/media/microp/DavidDD/bioacustica/2017/5071/20170123/13654-SM5071__0__20170123_013000.wav",0.8903997,0.8991336,0.4124896,0.9463032,0.29447853,0.6511458,0.09006682,0.000197110,0.10156482,0.4045660,0.5492251,0.9431245,0.9682671,0.9263364,0.7871853,0.8388712,0.8427800,0.8981225,0.8947262,0.93944266,2, 1,"b","654-SM5071__0_",   6.512214,   6.998092,   7.354426,   7.331936,   7.700687,   8.219409,   8.000000
"31921","/media/microp/DavidDD/bioacustica/2017/5071/20170123/13654-SM5071__0__20170123_014000.wav",0.8915561,0.9161690,0.4014001,0.9408814,0.31901841,0.6483867,0.10182770,0.000305880,0.10142283,0.4010935,0.5445924,0.9530324,0.9680431,0.9153779,0.8205728,0.8005881,0.8362153,0.8972194,0.8984418,0.93471864,2, 1,"b","654-SM5071__0_",   6.520393,   6.995954,   7.350573,   7.336697,   7.692246,   8.217826,   9.000000
"31922","/media/microp/DavidDD/bioacustica/2017/5071/20170123/13654-SM5071__0__20170123_015000.wav",0.8907531,0.9081614,0.4139391,0.9161660,0.43865031,0.6547474,0.12629960,0.000178279,0.09087252,0.3994467,0.5461927,0.9164460,0.9295729,0.9104539,0.8413399,0.7951119,0.8079997,0.9040415,0.8819981,0.92091950,2, 1,"b","654-SM5071__0_",   6.516706,   6.970815,   7.324556,   7.303135,   7.666066,   8.211696,  10.000000
